CustomerID,frequency,recency,T,monetary_value,life_time_value,predicted_puchase_freqeuncy,predicted_averaged_revenue
User00023,2.0,197.0,212.0,1289.385,4982.597377803317,3.8522536532659704,1398.183074010457
User00046,5.0,147.0,151.0,489.642,5423.85394163551,11.589210865256634,505.91463409141164
User00092,2.0,78.0,214.0,477.27,1833.5838547075966,3.819454640449109,518.9464440600452
User00115,2.0,202.0,220.0,393.72,1476.2713351862117,3.724325241663088,428.4910031035835
User00138,5.0,278.0,287.0,256.204,1586.8878917518655,6.4702447016829385,265.1237668725775
User00184,6.0,267.0,318.0,3272.603333333333,21611.181918928105,6.95540885129089,3358.7600307751945
User00276,5.0,307.0,319.0,394.382,2210.283706628009,5.861102383503837,407.65411947397087
User00299,4.0,197.0,281.0,490.335,2547.168574706637,5.389827677938902,510.86474014879667
User00345,1.0,31.0,49.0,686.05,5736.85040375074,7.613557574145459,814.5336112452516
User00368,18.0,369.0,371.0,268.73777777777775,4313.977069524879,17.19107443023218,271.26760474391097
User00391,9.0,357.0,358.0,273.19777777777773,2346.289309208859,9.111076268364014,278.37805786508255
User00529,5.0,248.0,270.0,423.01800000000003,2769.7196407425245,6.848360681860323,437.1921007524197
User00552,6.0,255.0,260.0,320.61833333333334,2559.358092093171,8.391552934101707,329.6946021900224
User00598,1.0,20.0,332.0,205.3,344.7966530973522,1.5080511378650037,247.15539441558326
User00644,9.0,258.0,287.0,318.7711111111111,3368.17197344534,11.212034973960527,324.7378678878842
User00828,6.0,191.0,226.0,407.1933333333333,3696.379377993898,9.547130590843683,418.530195690586
User00851,1.0,258.0,274.0,90.02,185.47871499843876,1.8046492850512108,111.102641766339
User00920,1.0,149.0,164.0,237.74,760.0168482031117,2.8782609292612054,285.44088449141157
User00943,2.0,189.0,249.0,606.815,2027.097539222464,3.3241577803535702,659.1983901845795
User01012,8.0,367.0,368.0,228.95125000000002,1717.8661000263917,7.938255295666678,233.93077988022986
User01104,2.0,214.0,331.0,333.47,856.7645686211231,2.5495613476992864,363.26131647729005
User01219,5.0,258.0,284.0,522.852,3264.982478704944,6.533907203638094,540.1706879486991
User01265,9.0,285.0,289.0,295.8288888888889,3105.9344759698743,11.139676059473986,301.39972283837164
User01288,8.0,131.0,133.0,347.97625,6592.661087221801,20.059651659215316,355.2715936562712
User01334,3.0,224.0,260.0,341.82666666666665,1503.0793660496608,4.493376648714679,361.6031540161814
User01357,2.0,117.0,197.0,727.31,3007.7370817455044,4.11743791025569,789.6523501851641
User01380,2.0,314.0,372.0,302.66999999999996,696.9195077865382,2.283509274533484,329.91568414384864
User01403,8.0,277.0,358.0,100.4875,776.0965061201716,8.147762897516426,102.96757075843246
User01426,4.0,246.0,310.0,322.1375,1528.4368112093011,4.917465253620869,335.9922884984912
User01495,4.0,282.0,313.0,167.11,788.0812505208535,4.873283253312282,174.81249094967072
User01587,2.0,63.0,109.0,463.365,3219.50314887705,6.906759724208771,503.892190241977
User01610,7.0,259.0,266.0,700.6685714285715,6292.438410055171,9.488276672443263,716.8936843554856
User01633,10.0,235.0,238.0,552.129,7653.046316297463,14.743852844578841,561.1080184977696
User01679,2.0,274.0,366.0,467.5,1090.540916306737,2.3189216160219344,508.3689496477815
User01702,5.0,355.0,369.0,661.7239999999999,3230.2781996303083,5.109487407132212,683.4169002723736
User01725,1.0,76.0,359.0,204.0,318.30327808305975,1.4008720982805345,245.62114234719309
User01748,1.0,35.0,87.0,513.88,2789.356829112773,4.932245075364934,611.3396276954566
User01771,1.0,272.0,332.0,181.38,305.4137723234396,1.5080511412168003,218.92515635720432
User01794,2.0,117.0,351.0,501.73,1217.2308755193542,2.4124515151918837,545.4280728547197
User01886,9.0,307.0,315.0,225.38222222222223,2184.201230732386,10.2774221955078,229.73733072149852
User01932,2.0,217.0,238.0,621.705,2164.9023222009278,3.465392438234305,675.3190546470776
User02001,4.0,262.0,294.0,500.45,2492.2842735181953,5.167320121288813,521.3811559602258
User02047,3.0,65.0,150.0,231.57000000000002,1676.8486913203678,7.385534277171329,245.4341998909737
User02070,8.0,306.0,316.0,319.96000000000004,2769.500990945338,9.163510737297418,326.71024457874114
User02185,5.0,138.0,145.0,303.18600000000004,3483.5039804626035,12.00834902009703,313.5856133743265
User02208,4.0,321.0,338.0,1334.205,5822.386911208217,4.533824120790717,1388.2238909931511
User02300,5.0,354.0,372.0,244.77399999999997,1188.2791126391423,5.070473817444194,253.33374291627527
User02369,5.0,224.0,255.0,234.47400000000002,1621.2198646901209,7.220688308973668,242.70931187953755
User02461,5.0,357.0,365.0,1045.864,5156.064092509067,5.162449103510361,1079.6566030347471
User02484,1.0,91.0,282.0,326.9,634.9681061482396,1.7569861402582343,390.6669725050012
User02507,8.0,366.0,366.0,458.31875,3452.7500319473975,7.979290412170273,467.76097608922936
User02576,9.0,335.0,361.0,499.9622222222222,4256.836386360852,9.039504687014649,509.0558642804701
User02599,2.0,21.0,161.0,49.394999999999996,254.1798731093808,4.932321295923824,55.707403973317895
User02668,1.0,135.0,150.0,52.739999999999995,193.31107839155172,3.1140451013775254,67.10501322050429
User02691,1.0,44.0,86.0,105.0,593.089491213321,4.978383691843738,128.7819463697887
User02714,10.0,283.0,290.0,879.2369999999999,10145.904225000786,12.277854437774842,893.2877926061738
User02737,9.0,201.0,240.0,544.8399999999999,6789.867564467579,13.23182976766383,554.7081152757147
User02760,2.0,105.0,201.0,215.03000000000003,879.0857867798437,4.043216602448177,235.03220304960206
User02783,2.0,75.0,317.0,84.24000000000001,229.49366216239372,2.6551955502581444,93.43235717652448
User02806,5.0,351.0,354.0,199.344,1014.9737010231706,5.313921100012295,206.47278155714937
User02829,1.0,130.0,133.0,375.59000000000003,1433.5395165094994,3.4580253834616674,448.1306134357065
User02875,5.0,178.0,235.0,493.54200000000003,3672.431897914159,7.785023736477519,509.9374769111473
User02921,2.0,196.0,215.0,184.05,708.9089569461992,3.8032636901965318,201.49169364408218
User02944,3.0,178.0,241.0,771.7533333333334,3631.6302376234216,4.819355898596149,814.5837557987205
User02967,1.0,188.0,364.0,35.400000000000006,59.65673724742656,1.3826742557863163,46.6404510159771
User03036,9.0,133.0,143.0,119.49111111111112,2377.486930027507,21.062719971327137,122.01881563487285
User03128,28.0,315.0,318.0,509.4760714285714,14528.693359246987,30.649673037679584,512.4173577407569
User03174,3.0,50.0,338.0,234.0,806.808074895531,3.5168294013792734,247.99450365362677
User03197,3.0,225.0,246.0,316.4066666666667,1464.7526392417424,4.729072171905243,334.8200586883454
User03220,53.0,353.0,354.0,5340.622264150943,257880.15415393512,52.04631013587468,5356.129845545224
User03243,1.0,23.0,96.0,180.95,919.8487394459022,4.552518954530873,218.4176729807368
User03266,20.0,371.0,373.0,223.0305,3944.9442996218304,18.957047564508688,224.95378082083502
